Trip Name,Comment Question Verbatim (On Worksheet),Rating
"A Remarkable Journey to Alaska, British Columbia and Haida Gwaii","The ship, the naturalists, the stewards were excellent, the flexibility with schedules to meet unexpected difficulties, the expedition leader did an excellent  job of communication for each event. We went to wonderful places, the guides were outstanding , the boat was great, the food was good, .Staff went out of their way to be helpful Knowledgeable naturalists Expertise of the naturalists; small ship; excellent activities; good food; time with Haida gwai; comfortable cabin Wonderful, friendly and knowledgeable staff. Great food and happy hour. Excellent shore excursions that taught us a great deal. Marvelous scenery. Hassle free, well constructed trip. ad lib opportunities for exploration were taken whenever they presented themselves Lectures & presentations.  Itinerary.  Access to naturalists and other experts. This trip was not a ""tour"", but an exceptional experience.  The experts, in their on-board talks and observations while we were on land or sea enhanced the carefully curated itinerary.  The fact that we were on a small ship with a small group made a huge difference.  The on-board staff were most attentive and provided great service. 
I felt privileged to have been introduced, on an intimate level, to the Haida Nation.  We can all learn from their example. I saw what I wanted as far as the people, places, and nature. I liked that all the planning etc is done and I just need to be told where to be. I appreciated the cultural aspects but feel what we saw lacked showing the average native persons expierience today. We got the pr tourist version. The staff and service were great.",4.333333333333333
"A Voyage From Singapore To Bali: Jungles, Atolls, And Wildlife","Great ship, great hotel (Tilen and team top notch). SUPERB chef. Passengers were great. Entire staff extremely kind, well-trained. The naturalists and subject matter experts were great...and Tom Ritchie is a gem. Unfortunately, the expedition leader was nowhere near as good and effective as the rest of the team.",2.0
"A Voyage on the Hudson River: Fall Colors, Conservation, and Creativity","Many things: having multiple options for different physical abilities, thoughtful organization of activities- something for everyone, Sean was an enthusiastic and knowledgable leader and the program staff was equally enthusiastic & capable, the quiet attention to safety made us able to encourage our 92- year old father/father-in-law to take on whatever activity he was interested in. The food was excellent: varied and many options.The non-programmatic staff were friendly, and extremely competent. The different activities. Hiking, kayaking, farm visits and art events. The poetry reading was very good. We loved the opportunity to see new places and learn about them.  The activities planned by organizers of the trip were outstanding and very diverse.  The staff was excellent in service and accommodating our needs.  Hotel Manager, Linda, ran the ship like a 5 star hotel. fall colors, learning history of area, kayaking, hiking (especially longer hikes), the staff knowledge and willingness to share their knowledge and their sense of humor. Food was good, waitstaff was friendly and engaging. I loved the Naturalist to begin with, they were  so excited to share their ""finds"" with us. The expeditions were well thought out and interesting. The photo instructors Bryan Holliday and Steve Morello, gave some very helpful tricks to use with our phones, I found this very useful. Kelly Coursey Gray was extremely knowledgeable in the art history of the region and brought her passion to her talks. Jeff Litton's passion about our planet made a big impression on my husband and my self. Small towns visited, Legend of Sleepy Hollow recitation, Sleepy Hollow cemetery visit Staff and high level of organization I liked the timing of the expedition, Fall colors were spectacular and the full schedule of activities were expedited by staff in the most thoughtful, kind, efficient,timely way.  
The help guidance in composition and cell phone photography resulted in better pictures. The experts were extremely helpful and they created  our trip documentary that I could bring home, something I truly value. The video is a treasure box I can open any time. Sights, walks, food on ship. enlightening as pertaining to a part of the country relatively close to where we live yet rarely visited.
Knowledge and enthusiasm of crew especially Shawn, Jeff, and Frankie. Val always made me feel safe regarding my many food allergies as did the Chef, stewards and kitchen staff The special guest speakers as well as the theatrical performance of The Legend of Sleepy Hollow All of the activities that were planned were well thought out and very interesting/fun.  I learned a lot. The expedition leader and all the naturalist specialists were knowledgeable and fun to be with.  On board, the cabin was perfect for me and very comfortable.  The food each day was so, so good! The choices for the menu selections appealed to me and sometimes hard to choose. For me, everything about my first trip like this was wonderful. Great itinerary. Informed and personable naturalists. Sean did a fantastic job of putting this outing together. Great time of year to see the fall colors. If a logistical problem they were able to make adjustments to ensure all had a great time. The agenda was a nice mix and very entertaining. One things which was  very pleasant surprise was the quality and variety of the meal selection on board. Far above expectation. Highly qualified, enthusiastic staff and crew. Easy to communicate with...exceptional knowledge of the area. Expedition Leader, Shawn Lucas, showed profound leadership skills and adapted to changing conditions with ease. We loved the history and diversity of the Hudson River sights, sites and sounds. I was impressed with everything and everyone. This was my first trip and I enjoyed it ALL!! 
The outings were wonderful the zodiac so much fun.. hiking.. couldnt have been more beautiful the Expedition Leader and his staff.. plus the Crew and Officers.. This is a region I have never had the opportunity to explore. This river expedition was a fabulous way to see the colors and enjoy my time there. Our excursions provided such a variety of activities - kayaks, zodiac rides, walks, hikes, live music, farm to table experiences, etc. 
Travel to and from the New York City area was convenient. Like small ship made it easy to meet other guests. Like that plenty of activities included. Food was very good.",4.588235294117647
"A Voyage through Melanesia: New Guinea, Sepik River and the Solomon Islands",the expedition staff on the ship,2.0
A Voyage to Fiji and Tahiti: Vibrant Reefs and Cultural History,"staff was very well informed. diving experience great.The Orion is a  wonderful ship Went to some amazing places and had some great people on board Tua, kura, matahi and ebony all provided so much cultural information.  They were great The ship was fantastic. Fran and her hotel staff and the captain and crew were wonderful. The food and cabin were superb.",3.6666666666666665
A Voyage to Iceland's Wild West Coast and East Greenland,"As usual, the Naturalist on this trip were so smart, so approachable and so friendly! Beautiful ship/cabin, excellent staff, naturalists and photo experts. Russ and Captain Oliver are terrific. Everything about the Endurance including officers, staff, crew, service, cabins, food, surprises, Shackleton band, etc.
Expedition format: professional staff teaching, blogging, recapping, learning environment 
Huge thanks for opening up the lower deck to see the basement, laundry, engine rooms
Need videographer and drone pilot Honestly, I liked just about everything. I particularly liked the long hikes. Knowledgeable, friendly naturalists. Beautiful scenery. Good food. Comfortable cabin. Clear instructions about who should be where, when. Nice gift shop. Naturalists were great (Carl, Boris, John, Tanya, Kim). Russ and Maya were great also. Activities were really fun. I liked opportunities for long hikes. Appreciate notice of Northern Lights, wildlife to view, etc 
Ship's crew are a fantastic team. I appreciated their skill at maneuvering in tricky conditions. Really like open bridge policy, Captain Oliver so articulate, also loved seeing Natalia in action as navigator. 
Food was fantastic. Wait staff so helpful, too!
An amazing trip!!! The crew were excellent. They adapted to conditions to give us good adventures in the wilderness. The ship is new & luxurious. From Captain Kruss all the way down, everyone was superb. The Endurance is a big step up in all phases. The knowledge and passion of the naturalists. Also their accessibility.  They always took the time to answer your questions and provide interesting information.  The dining and housekeeping staff were courteous, friendly. The Bridge was accessible and they were also welcoming and friendly.  I also appreciated their transparency about sickness and rough seas.  They made it feel like we were really on an expedition, not just a cruise.  Lastly Russ and Mara made it all more fun. Perfect! We loved the new ship, The Endurance which, most importantly, made us feel safe as we sailed to remote regions with icebergs and other navigational challenges.  The Endurance, the entire crew and hotel staff were absolutely top notch with the best service ever.   
We had sailed on the Explorer in 2011 which was excellent, but the food and beverage service on the Endurance was an entirely new level.  Wow! Our cabin always had our rooms fully cleaned by the time we returned from breakfast. The ship, the programs & the staff were excellent. We especially enjoyed that the staff ate with the guests & were so open & willing to talk even during their down time. I have Celiac Disease & the gluten free options were really good. Great people, very comfortable, wonderful food, excellent naturalists, interesting landscapes. Ship and crew are great, very service oriented The naturalists and photographers. Crew and staff were all excellent.  And the shop is beautiful.  Much improved over the Explorer.",4.533333333333333
A Voyage to Panama and Colombia: Exploring the Caribbean Coast,"The guides were very knowledgable and fun to spend time with. mostly enjoyed your staff/professionals, all were friendly, intelligent, informative, and generally very fantastic... our cabin and the ship were clean and cared for. Food was quite good, enjoyed having smallish portions and healthy choices... Very good accomodations on the boat, very attentive and helpful crew, excellent guides and local experts. National Geographic photographer, Ruben, was fantastic! Food was amazing. Activities well organized. Mostly interesting presentations on board.
Competent guides on land. The naturalists and most of the talks. Helpful service staff and crew. Most of the shore events. excellence of crew, example: dining room manager stepped forward to help, without my request, when I spilled a glass of red wine in my lap. washed ,dried and folded all my clothes without a stain remaining.
very interesting itinerary. Panama Canal The crew and staff were absolutely wonderful...everyone we encountered. Their service was impeccable, and I also loved the ability to be casual with them. Very nice to learn from them and about them.

We also loved most parts of the itinerary. We normally travel independently and chose this trip because it goes to places that would be very hard to get to on our own. It lived up to our expectations as unusual and educational everyday. There was a great variety of activities to participate in, all of which I found interesting. The staff throughout the ship were friendly and helpful. The naturalists/educators were extremely knowledgeable, outgoing, engaging, and available to answer a great variety of questions. They were available throughout the trip, and I really enjoyed dining with them and having them share so much more of their experiences. The programs were informative, well put together, and very interesting. Ship (NG Quest), crew and staff were excellent in every regard. The ship, crew, and naturalists/guides were excellent. Food was also excellent. The passengers were very interesting and fun. Staff was very knowledgeable, always willing to assist  travelers with anything. Their attitude was always upbeat, warm and pleasant. The naturalist on this trip were AMAZING! The ship accommodations and crew were great. The route taken was beautiful! The nature part. The informality. The stops especially in Tuchin and Guna Yala Visiting local people, beaches, snorkling, going through the Panama Canal I loved the unique opportunities we had on the trip - visiting the Guna Indigenous People, hiking in the Darien Gap, visiting the Tuchin and Lorica communities
The food onboard ship was fantastic.",4.166666666666667
A Voyage to the Bahamas' Out Islands: Natural Wonders and Hidden History,"I loved the knowledge and enthusiasm of all the naturalists.  Our trip leader did a great job pivoting and lining up alternatives when faced with a challenging weather situation.  In fact, I think the March 18 selection was one that should be in the itinerary - great day with a hike, snorkeling and beach time. The willingness and ability of the captain and crew in being willing to pivot was also instrumental to ensuring a great trip. The food was amazing as well - every day, every meal. naturalists were very helpful/ captain's flexibility when faced with high winds and determination to move the ship to a location where we could still have experiences. Great food; wonderful, knowledgeable naturalists, sunny weather. The patience and diplomacy exhibited by all of the staff was exemplary. Excellent food, clean accommodations, attentive staff. Helpful and friendly crew, clean room with good storage, snorkel equipment, great food and choices, knowledgeable naturalists, good briefings and lectures. staff, food, other passengers The knowledge of the guides, especially Elija, Berit and Nick.
Enjoyed Jeff's insight of photography.
Kimberly was the most enthusiastic guide.
Kayaking excursions were great. Excursions Having Elijah Sands from the Bahamas National Trust guide us and share his native perspective of the out islands. The naturalists worked very hard to give us an up close and personal experience of all the sites, which were breathtaking. It would have been great to have heard more about the Bahamas National Trust and how we could contribute. So, we plan to research and contribute on our own. Also, during the trip, a medical emergency required ship to get the patient to shore. Kudos 2 all. every member of staff and crew was wonderful, was a week spent with good friends I hadn't met, always felt safe, good variety of snorkeling opportunities, knew that the staff was doing absolute best to make things happen for us, real treat to travel on Sea Lion because of ship size and closeness to staff and crew, opportunity to see things off the beaten path Going to uninhabited places, the friendly naturalists, the wealth of food and the beautiful views Snorkeling and swimming. Knowledge and enthusiasm of naturalists, interactions with  Frankie, Kim, Katie,Luz, and Travis, Yoga with Allison, during activities, meals, anytime. Leader, Sean, was calm, friendly, informative. Visits to beautiful untouched locations, learning about the marine life, enjoying swimming, snorkeling, kayaking. Concern for safety. The Island School, Leon Levy Preserve.  Meeting Bahamians, learning history and present life. Recap, talks. Comforts of ship very good food. Friendly, welcoming staff. Snorkeling and other water opportunities.  Many interesting guests.  Nat Geo photographer. The beautiful venue, presentations on the islands, the staff and crew, the guests, visits to ""local"" attractions(though not the long bus rides to get there), photo session, zodiac cruises, one hike.",3.8666666666666667
Alaska's Inside Passage,"Flexibility when viewing wildlife. All of the staff were professional, courteous and happy! Excellent food The naturalists were outstanding on this trip. They were all very knowledgeable and entertaining. The activities were great. There were truly National Geographic moments with wildlife. Wildlife viewing, calving glaciers, Naturalist presentations, food excellent guides, great accommodations Great expedition team, great hospitality team. The route was superb and the experiences were unrushed, competent and educational. Presentations were very good with lively engaged presenters/naturalists. Cabin was mostly good (some very noisy ship moments.) Food was exceptional (1 exception.) I traveled solo so I appreciated good morning greetings by name (sweet, Troy.) Primary dinner server (Rudy) was kind and patient, and very accommodating. Itinerary was well-thought-out and comprehensive. Loved the exposure to wildlife and the use of Zodiacs to make close-up viewing possible. Staff naturalists were great. Food was good -- chef was particularly good with fish. Everything was well organized and smooth, staff cared for us and ensured we had a great time Great staff and accommodations I liked everything about the expedition.  The itinerary, accommodations, food, staff and naturalist lectures were all excellent. I really cant think of anything we did not likestaff and crew were wonderful and very accommodating, the food was phenomenal, and the weather fantastic. Knowledge and leadership of guides. Friendly attitude of the entire crew. The beauty of the land The crew and naturalist were passionate and caring.  Created a fantastic atmosphere for the wonderful trip Mary Lou, all the naturalists and the cruise staff were all terrific- knowledgable, kind, patient and accommodating.  The offered experiences (the ones we were able to take) were wonderful and obviously the scenery and weather were incredible.  Shauna in particular went out of her way to make sure we had the best trip we could, given the circumstances. Naturalists, food, cabins, sites we visited The scenery, the food, the staff. pretty much everything!  great excursions, food and staff.  Several highlighs of the trip, not just one! The overall professionalism of the NG staff and Quest crew.  The experience created memories for me and my 13 yo grandson.  The young explorers and photography principals were exceptional I love the smaller size vessel allowing us to get much closer to nature as well as the highly informed and passionate naturalist guides. They make the trip for me! The entire experience was excellent for us! We liked that the ship was small and was very personalized versus the big cruise ships, which we have no interest in using. We appreciated that the ship stopped or slowed down to view wildlife.

The food was delicious! The entire staff was very friendly and courteous. The naturalists are very knowledgeable, and we learned many things about the wildlife, ocean, rainforest and fauna. 

We commend you for a tremendous trip! The staff was truly wonderful. All of them. Naturalists, their expertise and energy.  The daily activities. The Naturalists were incredible. Their knowledge and enthusiasm brightened our day.
All the crew was fantastic.
Our whale and sea lion experience was absolutely breathtaking.
We loved our room with the balcony. The guides, staff, crew. Rooms were great. Seeing the wildlife was the greatest highlight of all. The Naturalists on board were absolutely great.  Their enthusiasm and passion about what they are showing us and teaching us is infectious ( in a good way ). I learned a lot and have a deep appreciation for the Alaska wilderness now which was always right there waiting to be explored.  We plan to do this trip again sometime with our sons thats how remarkable it was for me and my wife The staff was knowledgeable and friendly. The cabins were comfortable and had plenty of room for our things. The food was outstanding, especially the vegetarian options! Cocktail hour was always fun. We had extraordinary wildlife sightings and loved all the excursions/stops. Enjoyed the morning stretch class with Lola as well as massage. The ending slideshow was fabulous! Well planned zodiac trips and the naturalist staff.  Nice ship accommodations. 1. the Breakfast Buffet, Good variety and delicious. Excellent service especially from our server Anna Peach. 2. Absolutely loved the day trips Zodiac, Kayaking, Hiking, Beach Combing, and SUP. 3. Morning Stretch class with Allison 4. global explorers with Claire especially glacier water painting and driving the zodiacs. 5. Educational Talks by the Naturalists 6. Lots of time for Wildlife viewing. Our favorite was the Bubble Net Feeding. 7. Spotless room thanks to Janessa. Rgw bTYRliaa were ever present for casual, educational conversation and the planned programs were informative and even amusing. Of course the amenities and friendly staff made it extremely enjoyable. The expertise of the staff and the amazing sights. Naturalists were very knowledgeable, food and services were great, activities had reasonable variety and met my expectations. I enjoyed the underwater views the two times we got those. The assistant expedition leader and naturalists (Claire, Karson, James and others), the Wellness Coorinator Alison, Brooke the photographer, and the staff. Everything Exceeded our expectations at every turn. Outstanding staff with special call outs to the chef and to Adam U. Excursions ashore and Naturalists were supperb Flexibility and personalized experience I liked the small ship; the food was very good; the crew went out of their way to make the trip enjoyable.  I appreciated that the ship stopped when we spotted a group of whales and when we saw bear on the shore.  The person overseeing the kids and running the ""Global Explorer Program,"" Sarah Keefer, was wonderful and very skilled with children.  Our grandchildren learned a lot and had a great time. Our Expedition Leader Shaun was remarkable. The intimacy of a small ship, the large crew to passenger ratio, the wonderful activities and program, great food, and fabulous staffso attentive, personable, and knowledgeable. The ship facilities were really comfortableour room, dining, lounge, and decks. A shout out to the HR depts at Nat Geo and Lindblad for finding the friendliest staff you could ask for. Really liked that the Nat Geo crew would get to know us and us them. Everything. Guides, Expedition ship, Expedition leader and staff, itinerary, food, daily excursions to explore on land and water, the destination - Inside Passage of Alaska, talks and programs, etc. Naturalist support, well-planned itinerary, varied daily activities, accommodations, food. Small number of passengers and crew. The guides, kayaking, going out in the Zodiacs, learning about and seeing wildlife The small group size, accessibility to nature, the naturalists, the staff...all of it Location, Expedition Personnel, Ship and its crew. Crew and staff were great. Excellent cabin, lovely food choices, places visited, excellent staff and naturalists The location was fabulous and the ship itself the perfect size. Wildlife and Expert Guides The variety of options each day. We traveled with our 50 something son & his wife & we all had different, interesting things to do each day. excellent service, naturalists, and wildlife sightings The itinerary was well-conceived. The expedition leader was superb. The naturalists were amazingly knowledgeable and accessible. The Quest is a nice ship.

The Denali pre-trip extension was excellent. The guides were friendly and knowledgeable and well-organized. The activities were terrific. Well organized from breakfast to bedtime! Food was great and guides were knowledgeable, caring, helpful. and courteous. Liked the locations, the activities and the pacing. the staff, the crew, the staff, the location, the weather The Alaska's Inside Passage team, including the Venture crew, staff & naturalists were totally customer focused and knowledgeable about what they were doing.  So polite, kind, and attentive.  My grandson is a VERY picky eater, and the dining staff prepared hamburgers and fries for him while the rest of our family of six enjoyed exactly what was on the menu.  Alaska is a beautiful state, and National Geographic conveyed what there was to see about half the time frtom a distance. Fun, friendly , enriching program promoted by staff at all levels complementing the incredible natural environment Naturalists all EXCELLENT!! Wow they were amazing. Food, Service and crew absolutely top notch!! Thé plan for each day was flexible so if we saw whales breaching the ship would stay there for observing The scenery and wildlife was great.  The places the ship was able to get to.   The overall itinerary kept us away from the crowds. good atmosphere excellent service all around the hands on experiences of ship Our first experience with National Geographic was outstanding. The crew, stewards, naturalist, and waitstaff were excellent and most courteous . staff (very knowledgeable, kind, expert information), quality food, comfortable accommodations, ship was clean, storage in rooms, water pressure in shower, wine and beer were free, free snacks and coffee, the zodiac rides/tours, the leveled hikes and flexibility, all passengers were COVID vaccinated, like the balance of something active followed with a presentation, gift shop Competent and knowledgeable expedition staff and educators 

Hotel staff and galley staff provided high quality comfort and food experience 

Ships crew were knowledgeable and safety conscious 

The entire plan was smooth, adapted to conditions and provided a fantastic experience Naturalists and ability to go where big ships wouldn't go. To change course when can. Our multigenerational family was able to enjoy all activities together. The employees were all wonderful, helpful and kind.  The excursions off boat were great as well.  Our guides were a wealth of knowledge and eager to share what they knew.  My family enjoyed the walks, kayaks, and SUPs while we were there.  We appreciated the specific time spent for wildlife viewing!  The food, snacks and drink were all amazing as well! We loved having Naturalists and a professional photographer on board and the information they shared. The gloabal Explorer program which was excellent and one reason we chose this trip.The ability for the ship to reach areas that larger ships could not. This is our third Nat Geo trip and have never been disappointed. We would not choose any other company for a spectacular vacation. Tailored trip based on weather and other contributing factors managed well by the trip leader and captain. Excellent hotel management. Safety focus balanced with activities. amazing trip, lots of walking, beautiful vistas, lots of sea life, excellent staff, terrific food. Everything! The staff was absolutely wonderful, from John the Expedition Leader to the servers and cooks. great staff The Director and Naturalists were awesome.  And the ships captain was very accommodating of wildlife search and viewing. Very friendly staff, great food, beautiful locations What we learned about Alaska and the inside passage from wildlife, mammals, the Russian history, glaciers, Tlingit tribe, etc. Please keep the chef!  All of the staff were polite and smiling and patient.  I like the fact that they got us out hiking or into kayaks whenever possible.  Also we never sat,alone during dinner.  There was a lot of talking ad laughing.  Jamie was very good with working with the 10 children who were on the cruise.  The kids all played together the whole time, from 3 different families.

We also had other people to talk to.  We felt safe, welcomed and well fed.  I enjoyed the kayaks. that there were levels of options for participation in the activities Entire staff worked together from the first day to help us have the best experience possible.  From Cpt. Cook moving luggage, Shawna bussing tables and delivering guest's dinner.  There is not enough room to do the staff justice with feedback (SBI = situation, behavior, impact). These people stand out - Shauna, John M., Karson (helped w/ Med Equip), Howard, (Rachel, Melissa and Katie), Lida, Steward, Leigh & Darby, Paul shared halibut recipe. Proud of what they do!  e.g. BJ the eng. rm  Thanks! Knowledge of naturalist Staff
Friendliness of the hospitality and crew
Outstanding service and food Scenery, wildlife, staff, food. the professionals on board for information were great. Everything really! The venues we toured; the food (particularly the vegan options was amazing). Attentive and caring staff Excellent access to natural world Excellent staff, crew members and the naturalist team. Knowledgeable, professional, concerned with the welfare and enjoyment of each guest. Great accommodations, crew, naturalists and itinerary I had never been to Alaska but always wanted to see it. I love to explore unknown places. The trip of a lifetime to celebrate my 80th, as a gift from my son & wife! The entire team showed us such care and compassion and were amazingly knowledgeable, providing information which they were compassionate about!! The dining crew were wonderful, as well! Travis kept us informed on everything! Tamsen was very helpful guiding us when we saw an unexpected bear 200 away! The zodiac team gave us confidence and the naturalists aboard taught us well. Everyone was amazing!! I was so blessed!! We thought that you provided excellent services with your naturalists and nature presentations, your hotel services and shipboard operations. The staff were uniformly knowledgeable, friendly and engaging. Small intimate ship, very knowledgeable naturalists, friendly staff and very much loved Alaska true nature. Crew & staff great 
Excursions great
Excellent to meet captain on bridge
Good delicious - portions small for a big guy but still ok
Room & service excellent
Staff great with little issues/requests
Excellent bar & bartender
First class all the way Crew and Naturalists were fantastic. Learning from the naturalists. Seeing the wildlife. Perfect itinerary; excellent staff and crew; fabulous food and beverages; the Venture was perfect; organized and efficient; attention to detail in every way. Photo guides were proactive with their help.  They were the best we have ever had on a Nat Geo  trip.  The same thing can be said about all the naturalists on this trip. Picking up the tab for wine and beer keeps Nat Geo more in line with the competition. Variety of food options was great for all meals. The attention to detail was amazing . The friendliness and professionalism of all of the staff was also very impressive. The food was also incredible! The boat, the staff, the naturalists, the food, the itinerary, the zodiacs The passion of the naturalists about their subject matter was inspiring.  The food was great.  The room was clean, larger than I thought it would be.  The crew was always friendly, genuinely seemed to like their job.  The crew was working very hard to clean surfaces due to a COVID breakout on the ship.   The ship doctor was amazing and very busy.  The pace of each day was good.  The wildlife that we saw was absolutely amazing.  The slideshow on the last night was a great recap of the week. the staff, the food, the accommodations, and the excursions The variety of exposure to people, wildlife, plants and natural settings with opportunities to be on the land and on the water in small craft with naturalists. Small ship, excellent naturalists, outstanding Hotel Operations manager and good medical care. All the activities & choices of activities; ability levels combination of learning, adventure, sites; staff/crew were great, accommodations were very good; smaller boat experience. what a grand and beautiful location. I enjoyed pretty much everything about this expedition and experience. I loved the fantastic service on board the ship and off during the excursions. Everyone was kind, accommodating, and friendly. I loved the exciting presentations from the Naturalists. I also enjoyed our various options for excursions outside of the boat (I wish I could have done them all!) and the informative hikes, zodiac rides, and walks. I loved this experience and I am already missing it! Naturalists were very engaging and interesting. The service and amenities were excellent. Other than first day experience of confusion in starting from hospitality site, all and everything was excellent, especially all staff and naturalists. Staff and naturalists made you feel welcome and immediately addressed issues. Loved the educational format of the trip and getting out to explore. Staff, food, expeditions, The staff, the meals, the planned itinerary were all great. The staff were great.  The naturalists, with all their different expertise, gave us the best possible understanding of what we were seeing. Everything! Naturalists on board, passengers, itinerary, hiking &zodiac tours. Itinerary was nicely paced - not too fast, not too slow, and visited stunning locations with great wildlife viewing opportunities. Naturalist staff were friendly and experienced, and gave great talks in recap.  Stewards had excellent customer engagement, and the food was top quality and with great variety during the trip.  Housekeeping staff did a stellar job too.  All around, the ship's crew and the staff all interacted as one well-oiled machine with the goal of superior customer service. The staff was outstanding. Everything was excellent!  The incredible scenery, the very supportive and knowledgeable staff, especially the naturalists.  The educational lectures were a wonderful component.  Meals were very good, ambience aboard ship great. Everything. The crew was knowledgeable, helpful and friendly.  The sights were outstanding. Seeing wildlife and natures beauty was without a doubt a highlight. Food was good. quality of accomodations, food, staff, naturalist and expereinces. exceeded my high expectations The naturalist. I got excited watching them be excited by all the wild life we saw. The ship's staff: Everyone we interacted with was friendly and tried to give us what we needed in food, beverage and comfort.
The Naturalists: All of the Naturalists were knowledgeable, friendly, and enthusiastic about imparting regional, scientific, and sociopolitical knowledge at a level consistent with the guests' needs and interest.
The Food: The food was very good, and there was a reasonable variety.
Small things: Sea sickness pills in the lounge, lip balm and sunscreen in the mesh bag.",4.722689075630252
"Ancient Isles: England, Ireland, and Scotland","Choice of Acti vities was varied,specifically what I wanted or didn't know I wanted. Information conveyed in lectures and by guides was the detail I wanted.Traveling on the ship is so easy,all the details taken care of.  Food excellent and not overwhelmingly too much.  Small dessert portions appreciated:). Wait staff and crew friendly as well as the staff.  The birding naturalists were excellent; I didn't know I'd be interested in birds. The music was wonderful and related to the places we went. Great naturalists and guides; the itinerary The itinerary offered a variety of pursuits, ranging from educational hikes, nature watching, stunning picturesque venues, etc.  Something and more for everyone! The staff was wonderderful.  Particularly Maynard, Rommel, MJ and Randy! The explanations of the stafffinding à dinner spo I liked seeing Scara Brea.",4.0
